H0_samples,cosiota_samples
7.261757453801753570e+01,-8.970299717753483781e-01
6.249866117674493893e+01,-9.290220243490503460e-01
1.124207306451260280e+02,-4.521126665652956955e-01
6.350692610744255262e+01,-9.658031755147108433e-01
5.912273421000249840e+01,-9.484021780691282988e-01
7.832001073431483462e+01,-8.931180284514109724e-01
6.651714364574949911e+01,-9.242598887262307716e-01
6.565252565935499263e+01,-9.908837688155246459e-01
6.636654849062828987e+01,-9.503575232466580092e-01
5.655015768730144998e+01,-9.938535358319675606e-01
8.981884743902402590e+01,-6.526214666443481693e-01
6.328491591859282295e+01,-9.649376772792457313e-01
6.987006948198143164e+01,-8.526595337400443286e-01
5.839192238226852538e+01,-9.969316896620168400e-01
7.739079516424774852e+01,-7.630899475875437821e-01
9.152789469313049153e+01,-6.304104313447282948e-01
6.148889541635210065e+01,-9.788900907297535259e-01
7.089030500335294960e+01,-9.050291404413821628e-01
6.304200408036786740e+01,-9.956470619739631323e-01
7.881895025713507152e+01,-7.507473877181064514e-01
6.695050037268512710e+01,-9.980585277380394915e-01
7.840370516487183750e+01,-8.464695351687947511e-01
1.029791276289265340e+02,-6.735978136911754399e-01
8.245851645882315495e+01,-7.767481956411445010e-01
1.184881238934165850e+02,-5.715682727309396860e-01
6.672173789104404307e+01,-9.662001713298600247e-01
6.926006828013211702e+01,-9.453585626026572708e-01
7.663527118840936225e+01,-8.776370236857979901e-01
6.678280364507207878e+01,-9.213588793974742952e-01
9.359061646035712556e+01,-6.136537264496991773e-01
7.635752567440975724e+01,-8.115105820781173263e-01
1.054543624592386806e+02,-6.558566081730294872e-01
7.036918357505919630e+01,-9.769390430583968499e-01
6.837969221234860129e+01,-9.948963911636823365e-01
8.278886045710933672e+01,-8.278710494424458277e-01
8.464505556462647462e+01,-7.904481157905394184e-01
6.848934822460134342e+01,-9.865795944425924668e-01
1.057443656202787707e+02,-6.151605029793376644e-01
7.254156081246712517e+01,-8.786599740714359230e-01
1.088115209079996930e+02,-5.711022962021421456e-01
7.247927448417999585e+01,-9.198368455767583773e-01
8.772247454185990989e+01,-7.776883603194690853e-01
7.357237542897210858e+01,-8.897250290019138586e-01
7.059734556615089218e+01,-9.426520957908526288e-01
6.946948008043828793e+01,-8.654480333152204663e-01
7.308858827937928027e+01,-9.025214189347191551e-01
6.824422506318501291e+01,-8.824932152066973234e-01
7.341119129141604560e+01,-8.077288842956358295e-01
8.257045739428377829e+01,-7.008255153597831022e-01
6.412098283468951365e+01,-8.681337376686160123e-01
6.039619825359383043e+01,-9.950814569916922592e-01
6.270354357679865132e+01,-9.048975025188760180e-01
6.501983130024274260e+01,-9.726993715105350935e-01
6.549755879479509701e+01,-9.877899654433434096e-01
7.567841319660554689e+01,-9.174127907408770044e-01
7.468277660947158836e+01,-8.800163622291573562e-01
8.550461140393574055e+01,-6.699331241143594573e-01
8.148691542842834679e+01,-8.227632417305559276e-01
6.735599230050205222e+01,-8.432284031166554783e-01
7.422428707758655264e+01,-8.246160375901556705e-01
7.243682832423957052e+01,-8.024563380057440076e-01
7.240925085846036779e+01,-8.699322207512333316e-01
6.867498353981588366e+01,-8.073216159392024860e-01
9.269106670508664081e+01,-6.254377990276521748e-01
5.313740032871125862e+01,-9.893633316706073044e-01
9.439350522742076066e+01,-5.153959610416057879e-01
7.394105614009190219e+01,-9.485021931557501285e-01
7.277091741582604811e+01,-8.982829903468183552e-01
7.138550105371487575e+01,-9.975824679494844638e-01
7.363651674319547169e+01,-8.190883694532750114e-01
5.984985986914157507e+01,-9.916277448634355229e-01
6.852806552553397523e+01,-9.762214757701561663e-01
7.722427129590158756e+01,-8.349235892834406814e-01
7.527582064482000135e+01,-9.273178904667613853e-01
1.144859286568421624e+02,-4.347918490887730525e-01
7.787225126951568654e+01,-8.809217294737590187e-01
7.448505926353628581e+01,-9.726694584130768373e-01
6.995741854652362690e+01,-9.543068151596245663e-01
7.625989867308032899e+01,-8.927563268437961330e-01
7.113953415153228832e+01,-9.370897561365988393e-01
