cosiota_samples,planck_cosiota_samples,shoes_cosiota_samples
-8.833729949550445104e-01,-9.213588793974742952e-01,-8.970299717753483781e-01
-9.308578895245863682e-01,-9.865795944425924668e-01,-9.050291404413821628e-01
-8.194787939618124462e-01,-8.824932152066973234e-01,-9.769390430583968499e-01
8.704674906578030447e-01,-8.432284031166554783e-01,-8.786599740714359230e-01
-8.522334302316204591e-01,-9.927970965087855593e-01,-9.198368455767583773e-01
-9.263419370710812561e-01,-9.589900360866689955e-01,-8.897250290019138586e-01
-9.129798198059280168e-01,-8.664300444087323916e-01,-9.426520957908526288e-01
-7.821473204172614269e-01,-9.209938218577525815e-01,-9.025214189347191551e-01
-9.263144015817728061e-01,-9.473307475132717315e-01,-8.077288842956358295e-01
7.976024900204259360e-01,-8.703803596443291379e-01,-9.174127907408771154e-01
-5.512789387033082411e-01,-9.362265715852903236e-01,-8.800163622291573562e-01
-8.041799773508503391e-01,-9.083029443208884279e-01,-8.246160375901556705e-01
-7.070785066678701991e-01,-9.246123502589330689e-01,-8.024563380057440076e-01
-6.137986910243062866e-01,-9.376294612888985691e-01,-8.699322207512333316e-01
-7.044507392540008128e-01,-9.655546996056285636e-01,-9.485021931557502395e-01
-8.170629649131224692e-01,-8.597686796454767633e-01,-8.982829903468183552e-01
-6.638204131419201959e-01,-9.930725154411436106e-01,-8.190883694532750114e-01
-9.696872944102430392e-01,-9.440952116751595291e-01,-8.809217294737590187e-01
-4.131751257699071145e-01,-9.783887316325534655e-01,-9.726694584130768373e-01
-7.662131465871623304e-01,-8.954655961526273300e-01,-8.927563268437961330e-01
5.203801515466029981e-01,-9.173148702191809001e-01,-9.438607932842240089e-01
-6.529311395133391427e-01,-9.911437936529993165e-01,-9.098923616204953602e-01
-7.372414722347123694e-01,-9.832496627830442648e-01,-9.403226594470380784e-01
-7.207692935837054504e-01,-9.300707094811979658e-01,-9.007921220450179067e-01
-9.645879118091944537e-01,-9.125699865567780122e-01,-8.578664550895795937e-01
-9.832239912521074654e-01,-9.095561083051446616e-01,-9.946307773234182026e-01
