path,classification,reason,recommended_action
Plots/Old/PlotGW170817_Bilby_LVK_Hetero.py,needed-paper,utility script,include
Plots/Old/PlotH0.py,needed-paper,utility script,include
Plots/PlotExtendedFig_25_250.py,dead,deprecated extended figure,exclude
Plots/PlotExtendedFig_40_140.py,dead,deprecated extended figure,exclude
Plots/_plot_utils.py,needed-paper,feeds paper tables/figures,include
Plots/build_full_summary.py,needed-verification,review/summary utility,include
Plots/build_paper_tables.py,needed-paper,feeds paper tables/figures,include
Plots/build_review_pdf.py,needed-verification,review/summary utility,include
Plots/build_scaling_table.py,needed-verification,review/summary utility,include
Plots/compare_bins.py,dead,comparison/exploratory script,exclude
Plots/compute_evidence_table.py,needed-paper,feeds paper tables/figures,include
Plots/compute_prior_sensitivity.py,needed-paper,feeds paper tables/figures,include
Plots/compute_summary_stats.py,needed-paper,feeds paper tables/figures,include
Plots/compute_waveform_systematics.py,needed-paper,feeds paper tables/figures,include
Plots/newplotter.py,needed-paper,utility script,include
Plots/plot_GW150914.py,dead,output PDF not cited in paper,exclude
Plots/plot_GW150914_waveform_comparison.py,needed-paper,generates corner_GW150914_waveform_comparison.pdf,include
Plots/plot_GW170817_waveform_corner.py,needed-paper,generates corner_GW170817_waveform_comparison.pdf,include
Plots/plot_H0.py,dead,output PDF not cited in paper,exclude
Plots/plot_H0_GW170817_waveform_comparison.py,needed-paper,generates H0_waveform_comparison.pdf,include
Plots/plot_H0_IMRPhenomD_reweighted.py,dead,output PDF not cited in paper,exclude
Plots/plot_H0_IMRPhenomD_variants.py,dead,output PDF not cited in paper,exclude
Plots/plot_H0_TaylorF2_reweighted.py,dead,output PDF not cited in paper,exclude
Plots/plot_H0_TaylorF2_variants.py,dead,output PDF not cited in paper,exclude
Plots/plot_H0_abbott_reproduction.py,dead,output PDF not cited in paper,exclude
Plots/plot_H0_baseline_IMRPhenomD.py,dead,output PDF not cited in paper,exclude
Plots/plot_H0_baseline_TaylorF2.py,dead,output PDF not cited in paper,exclude
Plots/plot_H0_prior_sensitivity.py,needed-paper,generates H0_prior_sensitivity.pdf,include
Plots/plot_H0_reweight_comparison.py,dead,output PDF not cited in paper,exclude
Plots/plot_H0_summary.py,dead,output PDF not cited in paper,exclude
Plots/plot_H0_synoptic.py,dead,output PDF not cited in paper,exclude
Plots/plot_bimodality.py,needed-paper,generates bimodality.pdf,include
Plots/plot_by_waveform.py,dead,output PDF not cited in paper,exclude
Plots/plot_corner_GW170817_XAS_vs_LVK.py,dead,output PDF not cited in paper,exclude
Plots/plot_corner_GW170817_precession_test.py,dead,output PDF not cited in paper,exclude
Plots/plot_corner_IMRPhenomD_hetero_vs_unhetero.py,dead,output PDF not cited in paper,exclude
Plots/plot_corner_TaylorF2_hetero_vs_unhetero.py,dead,output PDF not cited in paper,exclude
Plots/plot_corner_combined_waveforms.py,dead,output PDF not cited in paper,exclude
Plots/plot_corner_reweighted_vs_sampled_flatZ.py,dead,output PDF not cited in paper,exclude
Plots/plot_dL_posterior.py,dead,output PDF not cited in paper,exclude
Plots/plot_full_sky_vs_narrow.py,dead,output PDF not cited in paper,exclude
Plots/plot_h0_prior_comparison.py,dead,output PDF not cited in paper,exclude
Plots/plot_paper_phasemarg_local.py,dead,output PDF not cited in paper,exclude
Plots/plot_phase_marginalization_schematic.py,dead,output PDF not cited in paper,exclude
Plots/plot_phasemarg_comparison_gwtc.py,dead,output PDF not cited in paper,exclude
Plots/plot_prior_vs_posterior_H0.py,dead,output PDF not cited in paper,exclude
Plots/plot_q_overlay_s16.py,dead,output PDF not cited in paper,exclude
Plots/plot_q_prior_sensitivity.py,dead,output PDF not cited in paper,exclude
Plots/plot_scaling_full.py,dead,output PDF not cited in paper,exclude
Plots/plot_scaling_study.py,needed-paper,generates scaling_study_full.pdf,include
Plots/plot_sky_prior_runtime.py,dead,output PDF not cited in paper,exclude
Plots/plot_speedup_comparison.py,dead,output PDF not cited in paper,exclude
Plots/plot_unheterodyned_vs_gwtc.py,dead,output PDF not cited in paper,exclude
Plots/plot_waveform_comparison_gwtc.py,dead,output PDF not cited in paper,exclude
Plots/reweight_dL_to_flat_z.py,needed-paper,utility script,include
Plots/run_all_plots.sh,needed-paper,orchestrates paper figure generation,include
Results/gwtc1_phasemarg/GW15_PhaseMarg_Heterodyned_IMRPhenomD_local_psd-gwtc2p1_ref-gwtc1.csv,needed-paper,paper results data,include
Results/gwtc1_phasemarg/PhaseMarg_Heterodyned_IMRPhenomD_NRTidalv2_local_psd-gwtc1_ref-gwtc1_baseline.csv,needed-paper,paper results data,include
Results/gwtc1_phasemarg/PhaseMarg_Heterodyned_IMRPhenomD_NRTidalv2_local_psd-gwtc1_ref-gwtc1_flatZ.csv,needed-paper,paper results data,include
Results/gwtc1_phasemarg/PhaseMarg_Heterodyned_IMRPhenomD_NRTidalv2_local_psd-gwtc1_ref-gwtc1_reweighted_flatZ.csv,needed-paper,paper results data,include
Results/gwtc1_phasemarg/PhaseMarg_Heterodyned_IMRPhenomD_NRTidalv2_local_psd-gwtc1_ref-gwtc1_vp250.csv,needed-paper,paper results data,include
Results/gwtc1_phasemarg/PhaseMarg_Heterodyned_TaylorF2_local_psd-gwtc1_ref-gwtc1_baseline.csv,needed-paper,paper results data,include
Results/gwtc1_phasemarg/PhaseMarg_Heterodyned_TaylorF2_local_psd-gwtc1_ref-gwtc1_flatZ.csv,needed-paper,paper results data,include
Results/gwtc1_phasemarg/PhaseMarg_Heterodyned_TaylorF2_local_psd-gwtc1_ref-gwtc1_reweighted_flatZ.csv,needed-paper,paper results data,include
Results/gwtc1_phasemarg/PhaseMarg_Heterodyned_TaylorF2_local_psd-gwtc1_ref-gwtc1_vp250.csv,needed-paper,paper results data,include
Results/gwtc1_phasemarg/PhaseMarg_Unheterodyned_IMRPhenomD_NRTidalv2_local_psd-gwtc1.csv,needed-paper,paper results data,include
Results/gwtc1_phasemarg/PhaseMarg_Unheterodyned_IMRPhenomD_NRTidalv2_local_psd-gwtc1_full_sky.csv,needed-paper,paper results data,include
Results/gwtc1_phasemarg/PhaseMarg_Unheterodyned_IMRPhenomD_NRTidalv2_local_psd-gwtc1_small_h0_prior.csv,needed-paper,paper results data,include
Results/gwtc1_phasemarg/PhaseMarg_Unheterodyned_TaylorF2_local_psd-gwtc1.csv,needed-paper,paper results data,include
Results/gwtc1_phasemarg/PhaseMarg_Unheterodyned_TaylorF2_local_psd-gwtc1_full_sky.csv,needed-paper,paper results data,include
Results/gwtc1_phasemarg/PhaseMarg_Unheterodyned_TaylorF2_local_psd-gwtc1_small_h0_prior.csv,needed-paper,paper results data,include
Results/gwtc1_phasemarg/evidence_table.csv,needed-paper,source for paper tables/evidence,include
Results/gwtc1_phasemarg/paper_diagnostics.csv,needed-paper,source for paper tables/evidence,include
Results/gwtc1_phasemarg/paper_tables.csv,needed-paper,source for paper tables/evidence,include
Results/gwtc1_phasemarg/plots/H0_IMRPhenomD_reweighted.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_IMRPhenomD_reweighted.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_IMRPhenomD_variants.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_IMRPhenomD_variants.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_TaylorF2_reweighted.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_TaylorF2_reweighted.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_TaylorF2_variants.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_TaylorF2_variants.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_abbott_reproduction.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_abbott_reproduction.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_baseline_IMRPhenomD.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_baseline_IMRPhenomD.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_baseline_TaylorF2.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_baseline_TaylorF2.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_boundary_analysis.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_boundary_analysis.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_full_sky_vs_narrow.pdf,dead,exploratory figure,exclude
